SK_ID_CURR,SK_ID_BUREAU,CREDIT_ACTIVE,CREDIT_CURRENCY,DAYS_CREDIT,CREDIT_DAY_OVERDUE,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,CNT_CREDIT_PROLONG,AMT_CREDIT_MAX_OVERDUE,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,,,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,CREDIT_TYPE,DAYS_CREDIT_UPDATE,AMT_ANNUITY,,days_end-cre,days_fact-cre,days_fact-end,days_update-cre,days_update-end,days_update-fact,ant_cre-debt,ant_cre-debt-by-limit,ant_debt-p-limit,ant_cre-by-debt-p-limit,AMT_CREDIT_SUM-by-days_end-cre,AMT_CREDIT_SUM-by-days_fact-cre,AMT_CREDIT_SUM-by-days_fact-end,AMT_CREDIT_SUM-by-days_update-cre,AMT_CREDIT_SUM-by-days_update-end
102086,5498627,Closed,currency 1,-1833,0,-1611,-1611,0,,157500,,,,,0,Credit card,-1611,,,222,222,0,222,0,0,,,,,709.4594595,709.4594595,inf,709.4594595,inf
102086,5498623,Closed,currency 1,-1872,0,-1779,-1780,0,,17955,0,,,0,0,Consumer credit,-1599,,,93,92,-1,273,180,181,17955,inf,0,inf,193.0645161,195.1630435,-17955,65.76923077,99.75
102086,5498626,Closed,currency 1,-2069,0,-1833,-1833,0,,135000,,,,,0,Consumer credit,-1833,,,236,236,0,236,0,0,,,,,572.0338983,572.0338983,inf,572.0338983,inf
102086,5498625,Closed,currency 1,-2318,0,-2019,-2019,0,,177646.5,,,,,0,Credit card,-2019,,,299,299,0,299,0,0,,,,,594.1354515,594.1354515,inf,594.1354515,inf
102086,5498633,Closed,currency 1,-2590,0,-2224,-2223,0,,73440,0,,,,0,Consumer credit,-2221,,,366,367,1,369,3,2,73440,,,,200.6557377,200.1089918,73440,199.0243902,24480
102086,5498634,Closed,currency 1,-2660,0,-2294,-2294,0,,92160,0,,,,0,Consumer credit,-2292,,,366,366,0,368,2,2,92160,,,,251.8032787,251.8032787,inf,250.4347826,46080
102086,5498639,Closed,currency 1,-2671,0,-2486,-2486,0,0,45405,0,,,0,0,Consumer credit,-2483,,,185,185,0,188,3,3,45405,inf,0,inf,245.4324324,245.4324324,inf,241.5159574,15135
102086,5498635,Closed,currency 1,-2773,0,-2042,-2042,0,,278221.5,0,,,,0,Car loan,-2040,,,731,731,0,733,2,2,278221.5,,,,380.6039672,380.6039672,inf,379.5654843,139110.75
102086,5498638,Closed,currency 1,-2817,0,-2634,-2776,0,0,48140.64,,,,,0,Consumer credit,-673,,,183,41,-142,2144,1961,2103,,,,,263.0636066,1174.161951,-339.0185915,22.45365672,24.54902601
103760,6760323,Closed,currency 1,-1776,0,-1592,-1599,0,,38430,0,,,,0,Consumer credit,-1586,,,184,177,-7,190,6,13,38430,,,,208.8586957,217.1186441,-5490,202.2631579,6405
103760,6760324,Closed,currency 1,-1777,0,-1592,-1592,0,0,38430,0,,,0,0,Consumer credit,-1592,,,185,185,0,185,0,0,38430,inf,0,inf,207.7297297,207.7297297,inf,207.7297297,inf
108652,6394198,Active,currency 1,-159,0,1060,,0,,270000,262894.5,TRUE,7105.5,0,0,Credit card,-22,,,1219,,,137,-1082,,7105.5,inf,262894.5,1.027027952,221.4930271,,,1970.80292,-249.5378928
108652,6394197,Closed,currency 1,-1791,0,36,-663,0,,675000,0,,,0,0,Consumer credit,-92,,,1827,1128,-699,1699,-128,571,675000,inf,0,inf,369.4581281,598.4042553,-965.6652361,397.292525,-5273.4375
112229,5064541,Active,currency 1,-210,0,1617,,0,0,972450,,TRUE,972450,,0,Consumer credit,-21,,,1827,,,189,-1638,,,,,,532.2660099,,,5145.238095,-593.6813187
112229,5064540,Closed,currency 1,-441,0,10516,-64,0,0,0,,,,,0,Credit card,-64,,,10957,377,-10580,377,-10580,0,,,,,0,0,0,0,0
112229,5064533,Closed,currency 1,-559,0,-300,-300,0,,0,0,,,,0,Credit card,-294,,,259,259,0,265,6,6,0,,,,0,0,,0,0
112229,5064539,Active,currency 1,-818,0,10139,,0,0,1584000,,TRUE,1584000,,0,Credit card,-32,,,10957,,,786,-10171,,,,,,144.5651182,,,2015.267176,-155.736899
112229,5064538,Closed,currency 1,-996,0,833,-445,0,0,1583550,,,,,0,Consumer credit,-445,,,1829,551,-1278,551,-1278,0,,,,,865.8009841,2873.956443,-1239.084507,2873.956443,-1239.084507
112229,5064537,Closed,currency 1,-1197,0,630,-889,0,0,2025000,,,,,0,Consumer credit,-889,,,1827,308,-1519,308,-1519,0,,,,,1108.374384,6574.675325,-1333.113891,6574.675325,-1333.113891
112229,5064536,Closed,currency 1,-1552,0,9408,-1191,0,0,130500,,,,,0,Credit card,-1191,,,10960,361,-10599,361,-10599,0,,,,,11.90693431,361.4958449,-12.31248231,361.4958449,-12.31248231
112229,5064535,Closed,currency 1,-1873,0,-777,-1194,0,0,2216947.5,,,,,0,Car loan,-1194,,,1096,679,-417,679,-417,0,,,,,2022.762318,3265.018409,-5316.420863,3265.018409,-5316.420863
112229,5064534,Closed,currency 1,-2832,0,-255,-1159,0,0,126000,,,,,0,Credit card,-679,,,2577,1673,-904,2153,-424,480,,,,,48.89406286,75.31380753,-139.380531,58.52299118,-297.1698113
113070,5099808,Active,currency 1,-739,0,1087,,0,,2364862.5,1702107,TRUE,662755.5,0,0,Consumer credit,-7,,,1826,,,732,-1094,,662755.5,inf,1702107,1.389373582,1295.105422,,,3230.686475,-2161.665905
113070,6154588,Active,currency 1,-1039,0,269,,0,,936000,530113.5,TRUE,405886.5,0,0,Credit card,-39,,,1308,,,1000,-308,,405886.5,inf,530113.5,1.765659618,715.5963303,,,936,-3038.961039
113070,5099807,Closed,currency 1,-1045,0,782,-737,0,,711450,0,,,0,0,Consumer credit,-639,0,,1827,308,-1519,406,-1421,98,711450,inf,0,inf,389.408867,2309.902597,-468.3673469,1752.339901,-500.6685433
113070,5099809,Active,currency 1,-1770,0,5535,,0,,3555000,2334523.5,TRUE,1220476.5,0,0,Mortgage,-39,3024,771.9985119,7305,,,1731,-5574,,1220476.5,inf,2334523.5,1.522794695,486.6529774,,,2053.72617,-637.7825619
113070,5099806,Closed,currency 1,-2543,0,-1447,-2176,0,,760050,0,,,0,0,Car loan,-639,,,1096,367,-729,1904,808,1537,760050,inf,0,inf,693.4762774,2070.980926,-1042.592593,399.1859244,940.6559406
113904,6107723,Active,currency 1,-631,0,27312,,1,0,22500,130.725,TRUE,22369.275,22369.275,0,Credit card,-340,,#DIV/0!,27943,,,291,-27652,,22369.275,1,22500,1,0.805210607,,,77.31958763,-0.813684363
113904,6107721,Closed,currency 1,-1282,0,-1069,-1069,0,,24264,0,,,,0,Consumer credit,-848,,,213,213,0,434,221,221,24264,,,,113.915493,113.915493,inf,55.9078341,109.7918552
113904,6107722,Closed,currency 1,-1950,0,-1854,-1857,0,,22725,0,,,0,0,Consumer credit,-1700,,,96,93,-3,250,154,157,22725,inf,0,inf,236.71875,244.3548387,-7575,90.9,147.5649351
115113,6350683,Active,currency 1,-485,0,31,,0,,187218.72,13840.92,TRUE,173377.8,,0,Consumer credit,-22,,#DIV/0!,516,,,463,-53,,173377.8,,,,362.8269767,,,404.3600864,-3532.428679
115113,6350682,Closed,currency 1,-1130,0,-764,-854,0,,82203.84,0,,,,0,Consumer credit,-767,,,366,276,-90,363,-3,87,82203.84,,,,224.6006557,297.84,-913.376,226.4568595,-27401.28
115177,5920885,Active,currency 1,-42,0,-12,,0,,225000,46350,TRUE,178650,0,0,Credit card,-35,,#DIV/0!,30,,,7,-23,,178650,inf,46350,4.854368932,7500,,,32142.85714,-9782.608696
115177,5920888,Active,currency 1,-66,0,266,,0,,71068.5,,TRUE,71068.5,,0,Consumer credit,-1,,#DIV/0!,332,,,65,-267,,,,,,214.061747,,,1093.361538,-266.1741573
115177,5920887,Active,currency 1,-676,0,54,,0,,477117,,TRUE,477117,,0,Consumer credit,-1,,#DIV/0!,730,,,675,-55,,,,,,653.5849315,,,706.84,-8674.854545
115177,5920886,Closed,currency 1,-822,0,-672,-655,0,,392044.5,,,,,0,Consumer credit,-652,,,150,167,17,170,20,3,,,,,2613.63,2347.571856,23061.44118,2306.144118,19602.225
115177,5920891,Closed,currency 1,-886,0,-667,-667,0,0,30100.5,,,,,0,Consumer credit,-660,,,219,219,0,226,7,7,,,,,137.4452055,137.4452055,inf,133.1880531,4300.071429
115177,5920890,Closed,currency 1,-1005,0,-759,-759,0,0,79537.5,,,,,0,Consumer credit,-758,,,246,246,0,247,1,1,,,,,323.3231707,323.3231707,inf,322.01417,79537.5
115177,5920884,Closed,currency 1,-1121,0,-816,-814,0,,115141.5,0,,,0,0,Consumer credit,-766,,,305,307,2,355,50,48,115141.5,inf,0,inf,377.5131148,375.0537459,57570.75,324.3422535,2302.83
115177,5920889,Closed,currency 1,-1466,0,-1156,-1156,0,0,97591.5,,,,,0,Consumer credit,-1150,,,310,310,0,316,6,6,,,,,314.8112903,314.8112903,inf,308.8338608,16265.25
123342,5199557,Active,currency 1,-133,0,417,,0,0,159386.085,127456.245,TRUE,31929.84,0,0,Consumer credit,-21,,#DIV/0!,550,,,112,-438,,31929.84,inf,127456.245,1.250516089,289.7928818,,,1423.090045,-363.8951712
123342,5199556,Active,currency 1,-241,0,62,,0,0,46875.015,9529.515,TRUE,37345.5,0,0,Consumer credit,-8,,#DIV/0!,303,,,233,-70,,37345.5,inf,9529.515,4.918929767,154.7030198,,,201.1803219,-669.6430714
123342,5199555,Closed,currency 1,-1404,0,-1162,-1162,0,0,43963.425,0,,,0,0,Consumer credit,-1162,,,242,242,0,242,0,0,43963.425,inf,0,inf,181.6670455,181.6670455,inf,181.6670455,inf
123342,5199554,Closed,currency 1,-1405,0,-1162,-1159,0,,43960.5,0,,,0,0,Consumer credit,-750,,,243,246,3,655,412,409,43960.5,inf,0,inf,180.9074074,178.7012195,14653.5,67.11526718,106.7002427
124972,6698275,Active,currency 1,-66,0,238,,0,,40500,,TRUE,40500,,0,Consumer credit,-26,,#DIV/0!,304,,,40,-264,,,,,,133.2236842,,,1012.5,-153.4090909
124972,6698272,Active,currency 1,-415,0,1227,,0,,963000,791217,TRUE,171783,0,0,Consumer credit,-12,,#DIV/0!,1642,,,403,-1239,,171783,inf,791217,1.217112372,586.4799026,,,2389.578164,-777.2397094
124972,6698271,Closed,currency 1,-556,0,1270,-402,0,,1017000,0,,,0,0,Consumer credit,-374,,,1826,154,-1672,182,-1644,28,1017000,inf,0,inf,556.9550931,6603.896104,-608.2535885,5587.912088,-618.6131387
124972,6698270,Active,currency 1,-556,0,716,,0,,180000,0,TRUE,180000,0,0,Credit card,-69,,#DIV/0!,1272,,,487,-785,,180000,inf,0,inf,141.509434,,,369.6098563,-229.2993631
124972,6698274,Closed,currency 1,-1525,0,-1497,-1067,0,,29250,,,,,0,Consumer credit,-1064,0,,28,458,430,461,433,3,,,,,1044.642857,63.86462882,68.02325581,63.44902386,67.55196305
125180,6168094,Active,currency 1,-112,0,619,,0,0,181057.5,181057.5,TRUE,0,0,0,Consumer credit,-112,,#DIV/0!,731,,,0,-731,,0,,181057.5,1,247.6846785,,,inf,-247.6846785
125180,6168093,Closed,currency 1,-1081,0,-959,-959,0,0,118323.63,0,,,0,0,Consumer credit,-959,,,122,122,0,122,0,0,118323.63,inf,0,inf,969.8658197,969.8658197,inf,969.8658197,inf
125180,6168092,Closed,currency 1,-1082,0,-959,-954,0,,118323,0,,,0,0,Consumer credit,-763,,,123,128,5,319,196,191,118323,inf,0,inf,961.9756098,924.3984375,23664.6,370.9184953,603.6887755
132675,5841149,Active,currency 1,-92,0,335,,0,,452250,426308.805,TRUE,25941.195,,0,Consumer credit,-34,26505,16.08408998,427,,,58,-369,,25941.195,,,,1059.133489,,,7797.413793,-1225.609756
132675,5841151,Active,currency 1,-445,0,,,0,0,225000,0,TRUE,225000,225000,0,Credit card,-32,,#DIV/0!,,,,413,,,225000,1,225000,1,,,,544.7941889,
132675,5841150,Closed,currency 1,-667,0,-483,-542,0,,47218.5,0,,,0,0,Consumer credit,-540,26505,,184,125,-59,127,-57,2,47218.5,inf,0,inf,256.6222826,377.748,-800.3135593,371.7992126,-828.3947368
136093,6316733,Active,currency 1,-335,0,1018,,0,,180000,64143,TRUE,115857,0,0,Credit card,-57,,#DIV/0!,1353,,,278,-1075,,115857,inf,64143,2.80622983,133.037694,,,647.4820144,-167.4418605
136093,6316732,Closed,currency 1,-2187,0,-2036,-2015,0,31905,115466.22,0,,,0,0,Consumer credit,-2004,,,151,172,21,183,32,11,115466.22,inf,0,inf,764.6769536,671.3152326,5498.391429,630.9629508,3608.319375
136093,6316731,Closed,currency 1,-2486,0,-2273,-2299,0,9458.19,49603.23,0,,,0,0,Consumer credit,-2272,,,213,187,-26,214,1,27,49603.23,inf,0,inf,232.8790141,265.2579144,-1907.816538,231.7907944,49603.23
136093,6316730,Closed,currency 1,-2870,0,-2535,-2555,0,11205,100845,0,,,0,0,Consumer credit,-2534,,,335,315,-20,336,1,21,100845,inf,0,inf,301.0298507,320.1428571,-5042.25,300.1339286,100845
137124,5956715,Active,currency 1,-420,0,30952,,0,,247500,195664.5,TRUE,51835.5,0,0,Credit card,-2,,#DIV/0!,31372,,,418,-30954,,51835.5,inf,195664.5,1.26492031,7.889200561,,,592.1052632,-7.995735608
137124,5956716,Active,currency 1,-447,0,1014,,0,,1545237,1254667.5,TRUE,290569.5,0,0,Consumer credit,-16,0,#DIV/0!,1461,,,431,-1030,,290569.5,inf,1254667.5,1.23159084,1057.657084,,,3585.236659,-1500.230097
137124,5956714,Active,currency 1,-531,0,575,,0,,112500,74853,TRUE,37647,0,0,Credit card,-144,,,1106,,,387,-719,,37647,inf,74853,1.502945774,101.7179024,,,290.6976744,-156.4673157
137124,5956718,Closed,currency 1,-624,0,-259,-283,0,0,270000,0,,,0,0,Consumer credit,-283,,,365,341,-24,341,-24,0,270000,inf,0,inf,739.7260274,791.7888563,-11250,791.7888563,-11250
137124,5956711,Closed,currency 1,-633,0,27331,-395,0,,0,0,,,0,0,Credit card,-370,,,27964,238,-27726,263,-27701,25,0,,0,,0,0,0,0,0
137124,5956717,Active,currency 1,-633,0,-268,,0,0,180000,43936.56,TRUE,136063.44,136063.44,0,Credit card,-498,,,365,,,135,-230,,136063.44,1,180000,1,493.1506849,,,1333.333333,-782.6086957
137124,5956712,Closed,currency 1,-926,0,-622,-709,0,,287550,0,,,0,0,Consumer credit,-708,,,304,217,-87,218,-86,1,287550,inf,0,inf,945.8881579,1325.115207,-3305.172414,1319.036697,-3343.604651
137124,5956713,Closed,currency 1,-1613,0,-882,-881,0,,135000,0,,,0,0,Consumer credit,-717,53694,,731,732,1,896,165,164,135000,inf,0,inf,184.6785226,184.4262295,135000,150.6696429,818.1818182
148800,6544465,Active,currency 1,-286,0,,,0,0,135000,138847.5,FALSE,-3847.5,0,0,Credit card,-9,0,,,,,277,,,-3847.5,#NAME?,138847.5,0.972289742,,,,487.3646209,
148800,5891205,Active,currency 1,-453,0,63,,0,,150602.76,22517.19,TRUE,128085.57,,0,Consumer credit,-20,0,,516,,,433,-83,,128085.57,,,,291.865814,,,347.8123788,-1814.491084
148800,6544460,Closed,currency 1,-685,0,1153,,0,,0,0,,,,0,Credit card,-499,,,1838,,,186,-1652,,0,,,,0,,,0,0
148800,5891204,Closed,currency 1,-685,0,1153,,0,,0,0,,,,0,Credit card,-499,0,,1838,,,186,-1652,,0,,,,0,,,0,0
148800,6544461,Closed,currency 1,-728,0,1123,-665,0,,0,0,,,,0,Credit card,-481,0,,1851,63,-1788,247,-1604,184,0,,,,0,0,0,0,0
148800,6544462,Closed,currency 1,-1499,0,30983,-646,0,,0,0,,,,0,Credit card,-429,0,,32482,853,-31629,1070,-31412,217,0,,,,0,0,0,0,0
148800,6544464,Closed,currency 1,-1512,0,-1147,-1147,0,,124267.5,0,,,,0,Consumer credit,-482,0,,365,365,0,1030,665,665,124267.5,,,,340.4589041,340.4589041,inf,120.6480583,186.8684211
148800,5891206,Active,currency 1,-1534,0,,,0,1451.52,126000,126000,TRUE,0,0,0,Credit card,-10,0,,,,,1524,,,0,,126000,1,,,,82.67716535,
148800,6544466,Active,currency 1,-1625,0,2030,,0,0,261000,253390.5,TRUE,7609.5,7609.14,0,Credit card,-10,26100,,3655,,,1615,-2040,,7609.5,1.000047312,260999.64,1.000001379,71.40902873,,,161.6099071,-127.9411765
148800,6544467,Closed,currency 1,-1645,0,-1149,-1149,0,0,134105.13,0,,,0,0,Consumer credit,-1149,0,,496,496,0,496,0,0,134105.13,inf,0,inf,270.373246,270.373246,inf,270.373246,inf
154691,6612613,Active,currency 1,-355,0,1471,,0,,805500,716143.5,TRUE,89356.5,0,0,Consumer credit,-16,22477.5,,1826,,,339,-1487,,89356.5,inf,716143.5,1.124774574,441.128149,,,2376.106195,-541.6946873
154691,6612618,Closed,currency 1,-988,0,-439,-439,0,2917.17,141610.5,0,,,0,0,Consumer credit,-437,,,549,549,0,551,2,2,141610.5,inf,0,inf,257.942623,257.942623,inf,257.0063521,70805.25
154691,6612612,Active,currency 1,-1069,0,26,,0,,675000,49738.5,TRUE,625261.5,0,0,Consumer credit,-33,25416,,1095,,,1036,-59,,625261.5,inf,49738.5,13.57097621,616.4383562,,,651.5444015,-11440.67797
154691,6612614,Active,currency 1,-1069,0,376,,0,,1125000,1107922.5,TRUE,17077.5,0,0,Credit card,-149,,,1445,,,920,-525,,17077.5,inf,1107922.5,1.015413984,778.5467128,,,1222.826087,-2142.857143
154691,6612617,Closed,currency 1,-1694,0,30937,-451,0,,0,0,,,,0,Credit card,-349,0,,32631,1243,-31388,1345,-31286,102,0,,,,0,0,0,0,0
154691,6612616,Active,currency 1,-2604,0,-2043,,0,,180000,,TRUE,180000,,0,Consumer credit,-2049,14940,,561,,,555,-6,,,,,,320.855615,,,324.3243243,-30000
155226,6092985,Active,currency 1,-428,0,1398,,0,,193500,168808.5,TRUE,24691.5,0,0,Consumer credit,-24,,,1826,,,404,-1422,,24691.5,inf,168808.5,1.146269293,105.9693319,,,478.960396,-136.0759494
155226,6092989,Closed,currency 1,-928,0,-563,-562,0,6537.42,94045.5,0,,,0,0,Consumer credit,-559,,,365,366,1,369,4,3,94045.5,inf,0,inf,257.6589041,256.954918,94045.5,254.8658537,23511.375
155226,6092984,Active,currency 1,-1051,0,45,,0,,495000,52272,TRUE,442728,0,0,Consumer credit,-41,,,1096,,,1010,-86,,442728,inf,52272,9.46969697,451.6423358,,,490.0990099,-5755.813953
155226,6092986,Active,currency 1,-1226,0,601,,0,,607500,279531,TRUE,327969,0,0,Consumer credit,-34,,,1827,,,1192,-635,,327969,inf,279531,2.173283106,332.5123153,,,509.647651,-956.6929134
155226,6092987,Closed,currency 1,-1312,0,-581,-555,0,,262665,,,,,0,Consumer credit,-548,,,731,757,26,764,33,7,,,,,359.3228454,346.9815059,10102.5,343.802356,7959.545455
155226,6092983,Closed,currency 1,-1509,0,-1326,-1325,0,,43695,0,,,0,0,Consumer credit,-1325,,,183,184,1,184,1,0,43695,inf,0,inf,238.7704918,237.4728261,43695,237.4728261,43695
155226,6092988,Closed,currency 1,-1657,0,-1473,-1473,0,0,71550,0,,,0,0,Consumer credit,-1473,,,184,184,0,184,0,0,71550,inf,0,inf,388.8586957,388.8586957,inf,388.8586957,inf
155226,6092982,Closed,currency 1,-1758,0,-1027,-1052,0,,171000,0,,,0,0,Consumer credit,-302,,,731,706,-25,1456,725,750,171000,inf,0,inf,233.9261286,242.2096317,-6840,117.4450549,235.862069
163320,5101267,Closed,currency 1,-1100,0,-764,-793,0,2835,25515,0,,,0,0,Consumer credit,-793,,,336,307,-29,307,-29,0,25515,inf,0,inf,75.9375,83.11074919,-879.8275862,83.11074919,-879.8275862
163320,5101271,Closed,currency 1,-1169,0,-377,-377,0,,238500,0,,,0,0,Consumer credit,-73,,,792,792,0,1096,304,304,238500,inf,0,inf,301.1363636,301.1363636,inf,217.6094891,784.5394737
163320,5101277,Active,currency 1,-1303,0,,,0,3326.355,360000,356733,TRUE,3267,3267,0,Credit card,-8,,,,,,1295,,,3267,1,360000,1,,,,277.992278,
163320,5101266,Active,currency 1,-1368,0,-783,,0,0,0,0,TRUE,0,0,0,Credit card,-669,,,585,,,699,114,,0,,0,,0,,,0,0
163320,5101276,Closed,currency 1,-1370,0,-1066,-1066,0,0,24183.855,0,,,0,0,Consumer credit,-1066,,,304,304,0,304,0,0,24183.855,inf,0,inf,79.55215461,79.55215461,inf,79.55215461,inf
163320,5101268,Closed,currency 1,-1371,0,-1066,-1058,0,,24183,0,,,0,0,Consumer credit,-771,,,305,313,8,600,295,287,24183,inf,0,inf,79.28852459,77.26198083,3022.875,40.305,81.97627119
163320,5101265,Closed,currency 1,-1390,0,-1056,-1084,0,0,78732,0,,,0,0,Consumer credit,-1084,,,334,306,-28,306,-28,0,78732,inf,0,inf,235.7245509,257.2941176,-2811.857143,257.2941176,-2811.857143
163320,5101272,Closed,currency 1,-1584,0,-1219,-1219,0,,172530,0,,,,0,Consumer credit,-1131,,,365,365,0,453,88,88,172530,,,,472.6849315,472.6849315,inf,380.8609272,1960.568182
163320,5101269,Closed,currency 1,-1585,0,-1219,-1211,0,,172530,0,,,0,0,Consumer credit,-779,,,366,374,8,806,440,432,172530,inf,0,inf,471.3934426,461.3101604,21566.25,214.057072,392.1136364
163320,5101275,Closed,currency 1,-1700,0,-1519,-1519,0,0,18441,0,,,0,0,Consumer credit,-1519,,,181,181,0,181,0,0,18441,inf,0,inf,101.8839779,101.8839779,inf,101.8839779,inf
163320,5101274,Active,currency 1,-1770,0,,,0,0,94050,0,TRUE,94050,94050,0,Credit card,-844,,,,,,926,,,94050,1,94050,1,,,,101.5658747,
163320,5101273,Closed,currency 1,-1975,0,-1669,-1669,0,,67189.5,0,,,,0,Consumer credit,-1131,,,306,306,0,844,538,538,67189.5,,,,219.5735294,219.5735294,inf,79.60841232,124.8875465
163320,5101270,Closed,currency 1,-1976,0,-1669,-1667,0,,67189.5,0,,,0,0,Consumer credit,-797,,,307,309,2,1179,872,870,67189.5,inf,0,inf,218.8583062,217.4417476,33594.75,56.98854962,77.0521789
168893,5592573,Closed,currency 1,-462,0,,-347,0,,4500,,,,,0,Consumer credit,-347,,,,115,,115,,0,,,,,,39.13043478,,39.13043478,
168893,5592575,Active,currency 1,-586,0,,,0,3358.62,72000,71761.5,TRUE,238.5,237.645,0,Credit card,-29,,,,,,557,,,238.5,1.003597803,71999.145,1.000011875,,,,129.2639138,
168893,5592574,Active,currency 1,-748,0,,,0,6589.71,69754.14,0,TRUE,69754.14,69754.14,0,Credit card,-29,,,,,,719,,,69754.14,1,69754.14,1,,,,97.01549374,
176426,6783335,Active,currency 1,-28,0,273,,0,,47223,,TRUE,47223,,0,Consumer credit,-6,5130,,301,,,22,-279,,,,,,156.8870432,,,2146.5,-169.2580645
176426,6783336,Active,currency 1,-70,0,974,,0,0,45000,41567.85,TRUE,3432.15,3432.15,0,Credit card,-25,5130,,1044,,,45,-999,,3432.15,1,45000,1,43.10344828,,,1000,-45.04504505
176426,6783337,Active,currency 1,-182,0,1279,,0,0,2160000,2077317.09,TRUE,82682.91,0,0,Consumer credit,-25,5130,,1461,,,157,-1304,,82682.91,inf,2077317.09,1.039802739,1478.439425,,,13757.96178,-1656.441718
176426,6783333,Closed,currency 1,-210,0,-152,-122,0,,453375,,,,,0,Consumer credit,-111,5877,,58,88,30,99,41,11,,,,,7816.810345,5151.988636,15112.5,4579.545455,11057.92683
176426,6783326,Active,currency 1,-264,0,1551,,0,,0,0,TRUE,,0,0,Credit card,-16,26185.5,,1815,,,248,-1567,,0,,0,,0,,,0,0
176426,6783327,Active,currency 1,-264,0,1581,,0,,225000,217577.07,TRUE,,7422.93,0,Credit card,-16,5130,,1845,,,248,-1597,,7422.93,1,225000,1,121.9512195,,,907.2580645,-140.8891672
176426,6783329,Active,currency 1,-265,0,466,,0,,514800,365584.5,TRUE,,0,0,Consumer credit,-18,10728,,731,,,247,-484,,149215.5,inf,365584.5,1.40815598,704.2407661,,,2084.210526,-1063.636364
176426,6783334,Active,currency 1,-353,0,378,,0,,115249.5,64165.5,TRUE,,,0,Consumer credit,-30,87861.96,,731,,,323,-408,,51084,,,,157.6600547,,,356.8095975,-282.4742647
176426,6783332,Closed,currency 1,-581,0,-216,-173,0,,89946,,,,,0,Consumer credit,-167,5130,,365,408,43,414,49,6,,,,,246.4273973,220.4558824,2091.767442,217.2608696,1835.632653
176426,6783328,Active,currency 1,-1176,0,,,0,,0,0,TRUE,,0,0,Credit card,-1161,5877,,,,,15,,,0,,0,,,,,0,
